2 38.68174172 77.36348343 1.0E7 522203315.5 300 38.68174162
3 3 3 0 0
1.00003E7 522218788.2 301.0 38.6817416196697 1 1 1
1.00007E7 522238129.0 303.0 38.6817416190071 1 1 2
0.99995E7 522176238.3 296.0 38.6817416273284 1 1 3
0.99992E7 522195579.1 297.0 38.6817416209921 1 2 1
1.00002E7 522211051.8 303.0 38.6817416190020 1 2 2
0.99996E7 522180106.4 298.0 38.6817416206627 1 2 3
0.99991E7 522195579.1 299.0 38.6817416203244 1 3 1
1.00008E7 522207183.7 306.0 38.6817416180082 1 3 2
0.99999E7 522187842.8 299.0 38.6817416203323 1 3 3
1.00003E7 522218788.2 303.0 38.6817416190031 2 1 1
1.00002E7 522211051.8 302.0 38.6817416193353 2 1 2
0.99998E7 522191711.0 298.0 38.6817416206647 2 1 3
0.99990E7 522183974.6 290.0 38.6817416233237 2 2 1
0.99997E7 522187842.8 297.0 38.6817416209970 2 2 2
1.00009E7 522207183.7 305.0 38.6817416183425 2 2 3
0.99994E7 522168501.9 294.0 38.6817416219941 2 3 1
1.00012E7 522207183.7 309.0 38.6817416170124 2 3 2
1.00003E7 522218788.7 303.0 38.6817416190030 2 3 3
1.00006E7 522234260.9 305.0 38.6817416183364 3 1 1
1.00002E7 522211051.8 304.0 38.6817416186687 3 1 2
0.99992E7 522191711.0 297.0 38.6817416209980 3 1 3
0.99993E7 522199447.3 299.0 38.6817416203264 3 2 1
1.00004E7 522222656.3 302.0 38.6817416193374 3 2 2
1.00005E7 522226524.5 301.0 38.6817416196717 3 2 3
0.99996E7 522180106.4 299.0 38.6817416203294 3 3 1
0.99997E7 522195579.1 298.0 38.6817416206637 3 3 2
1.00004E7 522222656.3 305.0 38.6817416183374 3 3 3
